universe_path,universe,sleeve,base_vol_weight,base_trend_weight,stress_k,stress_variant,vix_weight,drawdown_weight,cost_bps,regime,cagr,sharpe,max_dd,max_gross,passes_max_gross,passes_regime_dd,passes_regime_sharpe
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_20,0.4,0.6,0.2,vix_only,1.0,0.0,10.0,2022,0.05228517306023228,0.6434424146652269,-0.05443480517828281,1.3750000000000002,True,True,False
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_20,0.4,0.6,0.2,vix_only,1.0,0.0,10.0,2023_2026,0.21826197864510832,2.4427281070000673,-0.07490457772561177,1.3750000000000002,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_30,0.4,0.6,0.3,vix_only,1.0,0.0,10.0,2008_crisis,0.005648633483243959,0.04793733791370399,-0.10478718691878863,1.3750000000000002,True,True,False
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_30,0.4,0.6,0.3,vix_only,1.0,0.0,10.0,2010_2019,0.15879908082577865,1.6988903207240635,-0.11852229686039284,1.3750000000000002,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_30,0.4,0.6,0.3,vix_only,1.0,0.0,10.0,2020,0.164378536272334,1.0148964783502392,-0.1631217717086465,1.3750000000000002,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_30,0.4,0.6,0.3,vix_only,1.0,0.0,10.0,2022,0.04536024090268631,0.5713534814656245,-0.053185081320092586,1.3750000000000002,True,True,False
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_30,0.4,0.6,0.3,vix_only,1.0,0.0,10.0,2023_2026,0.21279207042181625,2.401584794592416,-0.07498254816906891,1.3750000000000002,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_40,0.4,0.6,0.4,vix_only,1.0,0.0,10.0,2008_crisis,0.005648633483243959,0.04793733791370399,-0.10478718691878863,1.3750000000000002,True,True,False
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_40,0.4,0.6,0.4,vix_only,1.0,0.0,10.0,2010_2019,0.15640755612734147,1.6768879048879743,-0.11979280894072253,1.3750000000000002,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_40,0.4,0.6,0.4,vix_only,1.0,0.0,10.0,2020,0.1647769267882373,1.0174625239812645,-0.16312177170864672,1.3750000000000002,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_40,0.4,0.6,0.4,vix_only,1.0,0.0,10.0,2022,0.04242185138043264,0.5381056421818766,-0.05228588030772985,1.3750000000000002,True,True,False
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_40,0.4,0.6,0.4,vix_only,1.0,0.0,10.0,2023_2026,0.2101157658560786,2.383327790088754,-0.0749825481690688,1.3750000000000002,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_drawdown_only_60_40_k_20,0.6,0.4,0.2,drawdown_only,0.0,1.0,10.0,2008_crisis,-0.03160349716124855,-0.16082360573428303,-0.1859655422178612,1.2910396263369248,True,True,False
config/universes/sp100.yaml,sp100_sample,a7_2_drawdown_only_60_40_k_20,0.6,0.4,0.2,drawdown_only,0.0,1.0,10.0,2010_2019,0.18071123704367276,1.5739004040157358,-0.13882378848461907,1.2910396263369248,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_drawdown_only_60_40_k_20,0.6,0.4,0.2,drawdown_only,0.0,1.0,10.0,2020,0.22255563561270075,0.953471725934356,-0.23275988037705886,1.2910396263369248,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_drawdown_only_60_40_k_20,0.6,0.4,0.2,drawdown_only,0.0,1.0,10.0,2022,-0.026945038275022926,-0.2050097718817846,-0.11951486261052957,1.2910396263369248,True,True,False
config/universes/sp100.yaml,sp100_sample,a7_2_drawdown_only_60_40_k_20,0.6,0.4,0.2,drawdown_only,0.0,1.0,10.0,2023_2026,0.2657151416147454,2.4158679650404,-0.10653599727979524,1.2910396263369248,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_drawdown_only_60_40_k_30,0.6,0.4,0.3,drawdown_only,0.0,1.0,10.0,2008_crisis,-0.00032813576423240676,-0.0021504186518585618,-0.12610942322067054,1.336559439505387,True,True,False
config/universes/sp100.yaml,sp100_sample,a7_2_drawdown_only_60_40_k_30,0.6,0.4,0.3,drawdown_only,0.0,1.0,10.0,2010_2019,0.18373003639895802,1.6455465122212265,-0.13077166998947776,1.336559439505387,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_drawdown_only_60_40_k_30,0.6,0.4,0.3,drawdown_only,0.0,1.0,10.0,2020,0.24531088615404983,1.1475642722338013,-0.20939373014640106,1.336559439505387,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_drawdown_only_60_40_k_30,0.6,0.4,0.3,drawdown_only,0.0,1.0,10.0,2022,-0.0080695793694604,-0.06807242576610677,-0.10522084158015921,1.336559439505387,True,True,False
