universe,variant,direction,top_n,use_optimizer,use_risk_engine,cagr,sharpe,max_dd,volatility,mean_ic,ic_sharpe,mean_spread,n_rebalances,trade_count
sp500_dynamic,long_high_vol_rebound_top_50_ew,long_high_vol_rebound,50.0,False,False,0.18926888060152391,0.5957537087262508,-0.6378208750261214,0.3176965209435114,0.03390386448584041,0.12984777444560883,0.01490810256515665,230,14446
sp500_dynamic,long_high_vol_rebound_optimizer_no_risk,long_high_vol_rebound,,True,False,0.20699777113306794,0.5527265463582376,-0.6696212053543693,0.3745030386127083,0.03390386448584041,0.12984777444560883,0.01490810256515665,230,10360
sp500_dynamic,long_high_vol_rebound_optimizer_risk,long_high_vol_rebound,,True,True,0.17533000929588538,0.5828904867954106,-0.57790140792053,0.3007940827097847,0.03390386448584041,0.12984777444560883,0.01490810256515665,230,9474
sp500_dynamic,long_low_vol_quality_top_10_ew,long_low_vol_quality,10.0,False,False,0.08202176885261236,0.5618041960785146,-0.40145844362410177,0.14599707411432267,-0.03390386448584041,-0.12984777444560883,-0.014980928013892577,230,3311
sp500_dynamic,long_low_vol_quality_top_20_ew,long_low_vol_quality,20.0,False,False,0.08522727858812185,0.5835937816898563,-0.40526176516483925,0.14603870236817368,-0.03390386448584041,-0.12984777444560883,-0.014980928013892577,230,6322
sp500_dynamic,long_low_vol_quality_top_30_ew,long_low_vol_quality,30.0,False,False,0.08653027495257581,0.5854682321693228,-0.40901773812424036,0.14779670389964125,-0.03390386448584041,-0.12984777444560883,-0.014980928013892577,230,9119
sp500_dynamic,long_low_vol_quality_top_50_ew,long_low_vol_quality,50.0,False,False,0.0919120783745333,0.6057878250558019,-0.4289440105805995,0.15172321821764387,-0.03390386448584041,-0.12984777444560883,-0.014980928013892577,230,14644
sp500_dynamic,long_low_vol_quality_optimizer_no_risk,long_low_vol_quality,,True,False,0.09385528218994965,0.6437986592893175,-0.3983140491000847,0.14578359373030617,-0.03390386448584041,-0.12984777444560883,-0.014980928013892577,230,9481
sp500_dynamic,long_low_vol_quality_optimizer_risk,long_low_vol_quality,,True,True,0.08296514881575967,0.6983358725178341,-0.2866746214248329,0.11880407706485235,-0.03390386448584041,-0.12984777444560883,-0.014980928013892577,230,7850
sp500_dynamic,spy_buy_hold,benchmark,,False,False,0.11144632660048526,0.5608854060492096,-0.5187377367045919,0.19869714098196284,,,,0,0
sp500_dynamic,equal_weight_universe_daily,benchmark,,False,False,0.1648718707264818,0.7786931483203835,-0.49116049786246474,0.2117289346671474,,,,0,0
