date,spy_ret_5d,spy_ret_21d,vix_5d_change,vix_percentile_jump_10d,realized_vol_21d_percentile_jump,trend_break,spy_drawdown,vix_level,spy_drawdown_speed_5d,spy_drawdown_speed_21d,vix_shock_5d,vix_percentile_jump,realized_vol_jump,trigger_count,crash_onset
2007-03-30,-0.009694092926666564,0.014612134378172437,0.13050197366400718,-0.11904761904761907,-0.23015873015873023,False,-0.024013610302857424,15.140000343322754,False,False,False,False,False,0,False
2007-04-02,-0.0072628874948355016,0.029233296943120157,0.10410333597598709,-0.015873015873015817,-0.25396825396825395,False,-0.023807002996737325,14.640000343322754,False,False,False,False,False,0,False
2007-04-03,0.005809996191609157,0.05030872713759105,-0.0014836427869816537,-0.011904761904761862,-0.27380952380952384,False,-0.022707506416710377,14.529999732971191,False,False,False,False,False,0,False
2007-04-04,0.014313746483406886,0.033790749508058715,-0.11615486143455545,0.09523809523809523,-0.3214285714285714,False,-0.012188787966141423,13.460000038146973,False,False,False,False,False,0,False
2007-04-05,0.015989561576438938,0.0376332998884068,-0.1261559285187731,0.0,-0.3214285714285714,False,-0.011088993358987054,13.239999771118164,False,False,False,False,False,0,False
2007-04-09,0.017183087648217965,0.03036065630043927,-0.10245901399067547,-0.01388888888888884,-0.33333333333333337,False,-0.008408015827028659,13.229999542236328,False,False,False,False,False,0,False
2007-04-10,0.017234809701676346,0.03127980517828299,-0.12732274341323124,-0.07738095238095244,-0.32539682539682546,False,-0.007032993167653601,13.140000343322754,False,False,False,False,False,0,False
2007-04-11,0.0022966503856840514,0.02554221535189294,0.002228806306550535,-0.015873015873015817,-0.31746031746031755,False,-0.005864056266925655,12.680000305175781,False,False,False,False,False,0,False
2007-04-12,0.005630853857504503,0.05051539981756181,-0.04003019200403135,-0.20436507936507942,-0.23809523809523814,False,-0.009920130965040852,13.489999771118164,False,False,False,False,False,0,False
2007-04-13,0.007488007136358776,0.04750463835734231,-0.07785334607782501,-0.2936507936507936,-0.21825396825396826,False,-0.005520580002513875,12.710000038146973,False,False,False,False,False,0,False
2007-04-16,0.015646343797719675,0.05601107273821926,-0.08828011954169346,-0.3194444444444444,-0.19047619047619047,False,-0.0009829679731853114,12.199999809265137,False,False,False,False,False,0,False
2007-04-17,0.01714935562695108,0.061791263648983685,-0.04258674675525109,-0.26388888888888895,-0.19047619047619047,False,0.0,11.979999542236328,False,False,False,False,False,0,False
2007-04-18,0.02256620842170265,0.05042767886897881,-0.07931799206661727,-0.0992063492063493,-0.26190476190476186,False,0.0,12.140000343322754,False,False,False,False,False,0,False
2007-04-19,0.017766245699007976,0.04440705270756218,-0.013375301005799978,-0.07738095238095233,-0.2182539682539683,False,0.0,12.420000076293945,False,False,False,False,False,0,False
2007-04-20,0.02270762426311146,0.037196767741249914,-0.010655747251913206,-0.1646825396825397,-0.48015873015873023,False,-0.0002712623183891427,12.539999961853027,False,False,False,False,False,0,False
2007-04-23,0.009271021685207215,0.034083103063407005,0.08848083974290599,-0.017857142857142905,-0.4365079365079365,False,0.0,12.069999694824219,False,False,False,False,False,0,False
2007-04-24,0.007002431675173781,0.03298664242941873,0.08072483645153672,0.02777777777777779,-0.4206349206349206,False,-0.0037674078167549974,13.039999961853027,False,False,False,False,False,0,False
2007-04-25,0.015006266777732646,0.043854783422334176,0.06360708188407349,-0.031746031746031744,-0.33730158730158727,False,-0.003363845530008014,13.119999885559082,False,False,False,False,False,0,False
