universe,vol_sleeve,other_sleeve,other_type,rolling_corr_min,rolling_corr_median,rolling_corr_max
sp100_sample,vol_top_20,blend_vol_top_10_trend_6m_long_short_70_30,blend,0.9087820785914678,0.9581735655174379,0.9862126099894198
sp100_sample,vol_top_20,blend_vol_top_10_trend_6m_long_short_60_40,blend,0.8896777338928187,0.9474062718422462,0.982745957725556
sp100_sample,vol_top_20,blend_vol_top_10_trend_3m_6m_long_short_80_20,blend,0.9168715781314561,0.9623536529496238,0.9873786267377958
sp100_sample,vol_top_20,blend_vol_top_10_trend_3m_6m_long_short_70_30,blend,0.9057251171332786,0.9569502967767158,0.986404517186041
sp100_sample,vol_top_20,blend_vol_top_10_trend_3m_6m_long_short_60_40,blend,0.8831318027233022,0.9445660068187368,0.9832792082410201
sp100_sample,vol_top_20,blend_vol_top_20_trend_3m_long_cash_80_20,blend,0.9832914111445593,0.994523040596984,0.9990839330004723
sp100_sample,vol_top_20,blend_vol_top_20_trend_3m_long_cash_70_30,blend,0.9554419973802395,0.9847742317780077,0.9972417279599447
sp100_sample,vol_top_20,blend_vol_top_20_trend_3m_long_cash_60_40,blend,0.9069537188371893,0.9657898627785302,0.9931194950776108
sp100_sample,vol_top_20,blend_vol_top_20_trend_6m_long_cash_80_20,blend,0.9839220838597479,0.9948915833031338,0.9990572209472734
sp100_sample,vol_top_20,blend_vol_top_20_trend_6m_long_cash_70_30,blend,0.9569620486134741,0.98602045110971,0.9971599793504815
sp100_sample,vol_top_20,blend_vol_top_20_trend_6m_long_cash_60_40,blend,0.9079971594041587,0.9697421405443851,0.9929115886082776
sp100_sample,vol_top_20,blend_vol_top_20_trend_3m_6m_long_cash_80_20,blend,0.984902584892996,0.9944845926525085,0.9989896107067802
sp100_sample,vol_top_20,blend_vol_top_20_trend_3m_6m_long_cash_70_30,blend,0.9597903633712503,0.9850446547295248,0.9969520320330412
