universe,sleeve,sleeve_type,vol_sleeve,trend_sleeve,vol_weight,trend_weight,cagr,sharpe,max_dd,volatility
sp500_dynamic,blend_vol_top_20_trend_6m_long_cash_80_20,blend,vol_top_20,trend_6m_long_cash,0.8,0.2,0.25990393394092304,0.774667026903797,-0.544010707585294,0.33550406163498625
sp500_dynamic,blend_vol_top_20_trend_6m_long_cash_70_30,blend,vol_top_20,trend_6m_long_cash,0.7,0.3,0.2468058132477895,0.8353087915138327,-0.4992684144001046,0.2954665577031729
sp500_dynamic,blend_vol_top_20_trend_6m_long_cash_60_40,blend,vol_top_20,trend_6m_long_cash,0.6,0.4,0.23167377665305966,0.9047884427715156,-0.45088956599916474,0.2560529795710087
sp500_dynamic,blend_vol_top_20_trend_3m_6m_long_cash_80_20,blend,vol_top_20,trend_3m_6m_long_cash,0.8,0.2,0.26499054349716267,0.7910133421373343,-0.544010707585294,0.3350013576018235
sp500_dynamic,blend_vol_top_20_trend_3m_6m_long_cash_70_30,blend,vol_top_20,trend_3m_6m_long_cash,0.7,0.3,0.25431875060303155,0.8629032563751835,-0.4992684144001047,0.2947245229683729
sp500_dynamic,blend_vol_top_20_trend_3m_6m_long_cash_60_40,blend,vol_top_20,trend_3m_6m_long_cash,0.6,0.4,0.2415202379002892,0.9468148930580711,-0.45088956599916485,0.25508707105378836
sp500_dynamic,blend_vol_top_20_trend_3m_long_short_80_20,blend,vol_top_20,trend_3m_long_short,0.8,0.2,0.253513818726105,0.7625517050189158,-0.5417523029238487,0.33245459561304946
sp500_dynamic,blend_vol_top_20_trend_3m_long_short_70_30,blend,vol_top_20,trend_3m_long_short,0.7,0.3,0.2370997596848654,0.8151019947487705,-0.49562512463177855,0.29088354735034594
sp500_dynamic,blend_vol_top_20_trend_3m_long_short_60_40,blend,vol_top_20,trend_3m_long_short,0.6,0.4,0.21860179215301434,0.8746103359630201,-0.4456707932354973,0.24994192632346982
sp500_dynamic,blend_vol_top_20_trend_6m_long_short_80_20,blend,vol_top_20,trend_6m_long_short,0.8,0.2,0.2502999865629587,0.7513713916587893,-0.5417523029238489,0.3331241904358055
sp500_dynamic,blend_vol_top_20_trend_6m_long_short_70_30,blend,vol_top_20,trend_6m_long_short,0.7,0.3,0.23241195399970982,0.7963059588703562,-0.49562512463177844,0.2918626332137595
sp500_dynamic,blend_vol_top_20_trend_6m_long_short_60_40,blend,vol_top_20,trend_6m_long_short,0.6,0.4,0.21253493369478305,0.8460807045331594,-0.4456707932354973,0.2511993626093306
sp500_dynamic,blend_vol_top_20_trend_3m_6m_long_short_80_20,blend,vol_top_20,trend_3m_6m_long_short,0.8,0.2,0.25632278886896276,0.7705047554950527,-0.5417523029238487,0.3326686656259172
sp500_dynamic,blend_vol_top_20_trend_3m_6m_long_short_70_30,blend,vol_top_20,trend_3m_6m_long_short,0.7,0.3,0.24128343877246583,0.8285986690400697,-0.49562512463177855,0.29119457680518884
sp500_dynamic,blend_vol_top_20_trend_3m_6m_long_short_60_40,blend,vol_top_20,trend_3m_6m_long_short,0.6,0.4,0.22412954020521703,0.8953086411908059,-0.4456707932354973,0.2503377381760924
