variant,selection,top_n,sector_balanced,construction,vol_method,target_beta,use_exposure_scaling,universe,cagr,sharpe,max_dd,volatility,avg_realized_beta,avg_abs_beta_error,avg_exposure_multiplier,turnover_sum,n_rebalances,solver_statuses
top_30_alpha_over_vol_exposure_scaled,top_30,30,False,vol_scaling,alpha_over_vol,,True,sp500_dynamic,0.1862580358811028,0.6563743579413127,-0.5088623164016883,0.28376799554646276,1.5570860460394267,,0.8627615062761507,126.30587446841379,239,not_applicable=239
top_30_beta_target_1.0_exposure_scaled,top_30,30,False,beta_target,not_applicable,1.0,True,sp500_dynamic,0.1448424383118292,0.5164945870197408,-0.539803660590463,0.280433603665808,1.1360374171553633,0.2732759109021276,0.8627615062761507,275.66304060919265,239,optimal=239
top_30_spy_hedge_beta_1.0_exposure_scaled,top_30,30,False,spy_hedge,equal_weight,1.0,True,sp500_dynamic,0.13892788721913596,0.7038985596105132,-0.3942010114639294,0.197369188105753,0.8627615062761507,0.0,0.8627615062761507,149.33844555524027,239,not_applicable=239
top_30_beta_target_0.7_exposure_scaled,top_30,30,False,beta_target,not_applicable,0.7,True,sp500_dynamic,0.1431264789829949,0.5102198895651177,-0.5398036605904629,0.2805192073264485,1.1336880827239928,0.5297550283306874,0.8627615062761507,275.2037311617444,239,optimal=239
top_30_spy_hedge_beta_0.7_exposure_scaled,top_30,30,False,spy_hedge,equal_weight,0.7,True,sp500_dynamic,0.10824792205895539,0.6240392233927404,-0.35193349476525393,0.1734633305106037,0.6039330543933055,6.967926932793869e-19,0.8627615062761507,153.39751658732237,239,not_applicable=239
top_30_beta_target_0.5_exposure_scaled,top_30,30,False,beta_target,not_applicable,0.5,True,sp500_dynamic,0.14307066591321638,0.5100193796433543,-0.5398036605904628,0.2805200579108634,1.133688055796597,0.7023073026585217,0.8627615062761507,275.2034568672609,239,optimal=239
top_30_spy_hedge_beta_0.5_exposure_scaled,top_30,30,False,spy_hedge,equal_weight,0.5,True,sp500_dynamic,0.08700118975778892,0.535005497918995,-0.32349373414888694,0.1626173751413705,0.43138075313807533,0.0,0.8627615062761507,156.2558465908234,239,not_applicable=239
sector_balanced_top_20_equal_weight_exposure_scaled,sector_balanced_top_20,20,True,vol_scaling,equal_weight,,True,sp500_dynamic,0.19420874957246403,0.7502951984763268,-0.4501239417765708,0.2588431193040504,1.4174740831166726,,0.8627615062761507,144.51000000000008,239,not_applicable=239
sector_balanced_top_20_inverse_vol_exposure_scaled,sector_balanced_top_20,20,True,vol_scaling,inverse_vol,,True,sp500_dynamic,0.17278028024780534,0.727611735812057,-0.4335143429108709,0.23746219548668016,1.314497068124801,,0.8627615062761507,164.04770186854884,239,not_applicable=239
sector_balanced_top_20_alpha_over_vol_exposure_scaled,sector_balanced_top_20,20,True,vol_scaling,alpha_over_vol,,True,sp500_dynamic,0.1776422690365742,0.7173774204127089,-0.4471055439010575,0.24762734926111307,1.3782532642942624,,0.8627615062761507,157.92279700596526,239,not_applicable=239
sector_balanced_top_20_beta_target_1.0_exposure_scaled,sector_balanced_top_20,20,True,beta_target,not_applicable,1.0,True,sp500_dynamic,0.1496362244064693,0.6900966419249435,-0.4771954366831639,0.21683372344643878,0.9363860691017104,0.07362458938600092,0.8627615062761507,228.29784830725234,239,optimal=239
sector_balanced_top_20_spy_hedge_beta_1.0_exposure_scaled,sector_balanced_top_20,20,True,spy_hedge,equal_weight,1.0,True,sp500_dynamic,0.13578744996485947,0.7272515062900036,-0.3587830611803752,0.18671319177813017,0.8627615062761507,0.0,0.8627615062761507,174.60388671215307,239,not_applicable=239
sector_balanced_top_20_beta_target_0.7_exposure_scaled,sector_balanced_top_20,20,True,beta_target,not_applicable,0.7,True,sp500_dynamic,0.16292825769724284,0.7528826131855506,-0.4631853738230435,0.2164059241690691,0.8673904381094169,0.2634574100249968,0.8627615062761507,229.26617017103106,239,optimal=238;user_limit_equal_weight=1
sector_balanced_top_20_spy_hedge_beta_0.7_exposure_scaled,sector_balanced_top_20,20,True,spy_hedge,equal_weight,0.7,True,sp500_dynamic,0.10545545797256395,0.6600314649171253,-0.303547350797032,0.15977337987334456,0.6039330543933055,0.0,0.8627615062761507,178.6856295033682,239,not_applicable=239
sector_balanced_top_20_beta_target_0.5_exposure_scaled,sector_balanced_top_20,20,True,beta_target,not_applicable,0.5,True,sp500_dynamic,0.1620533357389351,0.7499822574604711,-0.4676125978170643,0.2160762259732209,0.862192081087324,0.43081132794924887,0.8627615062761507,227.46541795784725,239,optimal=239
sector_balanced_top_20_spy_hedge_beta_0.5_exposure_scaled,sector_balanced_top_20,20,True,spy_hedge,equal_weight,0.5,True,sp500_dynamic,0.08443816902268297,0.5749346911759041,-0.26573029607470544,0.14686567069032316,0.43138075313807533,0.0,0.8627615062761507,181.50911924754067,239,not_applicable=239
sector_balanced_top_30_equal_weight_exposure_scaled,sector_balanced_top_30,30,True,vol_scaling,equal_weight,,True,sp500_dynamic,0.16554501164655977,0.6799392799746382,-0.46229926504156926,0.24347028701259119,1.3398654406339678,,0.8627615062761507,125.68666666666664,239,not_applicable=239
sector_balanced_top_30_inverse_vol_exposure_scaled,sector_balanced_top_30,30,True,vol_scaling,inverse_vol,,True,sp500_dynamic,0.14078850539090149,0.6293560383435778,-0.4567645338709282,0.22370247810992208,1.241041082330888,,0.8627615062761507,144.27384252561131,239,not_applicable=239
sector_balanced_top_30_alpha_over_vol_exposure_scaled,sector_balanced_top_30,30,True,vol_scaling,alpha_over_vol,,True,sp500_dynamic,0.1474431230015134,0.6265687830450619,-0.46616714908972035,0.23531833533894636,1.3128723517423002,,0.8627615062761507,138.0200375935996,239,not_applicable=239
sector_balanced_top_30_beta_target_1.0_exposure_scaled,sector_balanced_top_30,30,True,beta_target,not_applicable,1.0,True,sp500_dynamic,0.09660977739392207,0.4860025325125383,-0.4958085555869387,0.19878451434083763,0.881097020198563,0.018335537273996148,0.8627615062761507,211.99182897860936,239,optimal=239
sector_balanced_top_30_spy_hedge_beta_1.0_exposure_scaled,sector_balanced_top_30,30,True,spy_hedge,equal_weight,1.0,True,sp500_dynamic,0.11338077484858156,0.63839109748064,-0.35955642876828986,0.17760394105749566,0.8627615062761507,0.0,0.8627615062761507,151.57932076879374,239,not_applicable=239
sector_balanced_top_30_beta_target_0.7_exposure_scaled,sector_balanced_top_30,30,True,beta_target,not_applicable,0.7,True,sp500_dynamic,0.1104322040982968,0.5559163344670822,-0.4742684219193457,0.19864896433410317,0.7233911728413651,0.11945816614454965,0.8627615062761507,223.17465445883371,239,optimal=239
sector_balanced_top_30_spy_hedge_beta_0.7_exposure_scaled,sector_balanced_top_30,30,True,spy_hedge,equal_weight,0.7,True,sp500_dynamic,0.08393050436310112,0.5697868331355399,-0.30437632031214523,0.14730158628136616,0.6039330543933055,0.0,0.8627615062761507,155.6203458699199,239,not_applicable=239
sector_balanced_top_30_beta_target_0.5_exposure_scaled,sector_balanced_top_30,30,True,beta_target,not_applicable,0.5,True,sp500_dynamic,0.11422580038613983,0.572713837894728,-0.46623690658730255,0.1994465522363299,0.6892151627743749,0.25783441101953386,0.8627615062761507,221.531302466969,239,optimal=239
sector_balanced_top_30_spy_hedge_beta_0.5_exposure_scaled,sector_balanced_top_30,30,True,spy_hedge,equal_weight,0.5,True,sp500_dynamic,0.06350888233743546,0.4814699859396603,-0.2664049078741286,0.131906212624009,0.43138075313807533,0.0,0.8627615062761507,158.39547011851894,239,not_applicable=239
