universe_path,universe,sleeve,base_vol_weight,base_trend_weight,stress_k,stress_variant,vix_weight,drawdown_weight,cost_bps,cagr,sharpe,max_dd,volatility,turnover_sum,avg_gross,max_gross,n_rebalances,passes_max_gross,passes_full_period_dd,passes_full_period_sharpe
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_50_50_k_20,0.5,0.5,0.2,vix_only,1.0,0.0,25.0,0.16277892533284422,1.4872006990961715,-0.18195706064510242,0.10945323346860392,208.29463678225332,1.1418588606216904,1.35,4515,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_50_50_k_20,0.5,0.5,0.2,vix_only,1.0,0.0,50.0,0.13010262964366937,1.184635181794382,-0.18361183026748273,0.10982505976785296,208.29463678225332,1.1418588606216904,1.35,4515,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_50_50_k_30,0.5,0.5,0.3,vix_only,1.0,0.0,10.0,0.18149233563539702,1.7700336159768233,-0.1636148833414378,0.1025360953584135,254.1127207058746,1.1503892104382347,1.3750000000000002,3829,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_50_50_k_30,0.5,0.5,0.3,vix_only,1.0,0.0,25.0,0.15711126896309469,1.5298660482578619,-0.16458667485527978,0.10269609495681369,254.1127207058746,1.1503892104382347,1.3750000000000002,3829,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_50_50_k_30,0.5,0.5,0.3,vix_only,1.0,0.0,50.0,0.11756547733564116,1.1399838213163693,-0.1662052506952909,0.10312907528800296,254.1127207058746,1.1503892104382347,1.3750000000000002,3829,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_50_50_k_40,0.5,0.5,0.4,vix_only,1.0,0.0,10.0,0.17417709348270827,1.7218923092833578,-0.16317988825227792,0.10115446392533098,262.0243156694095,1.1558963922095822,1.3750000000000002,3078,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_50_50_k_40,0.5,0.5,0.4,vix_only,1.0,0.0,25.0,0.14919976742831675,1.472811267998774,-0.16397799455690776,0.1013027063753025,262.0243156694095,1.1558963922095822,1.3750000000000002,3078,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_50_50_k_40,0.5,0.5,0.4,vix_only,1.0,0.0,50.0,0.10872020041637209,1.0686357366655435,-0.16530784253919106,0.10173738036836665,262.0243156694095,1.1558963922095822,1.3750000000000002,3078,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_20,0.4,0.6,0.2,vix_only,1.0,0.0,10.0,0.1654226888120487,1.6488024128260244,-0.1632739794079513,0.10032899486635061,193.78262877494043,1.1654715160386826,1.3750000000000002,3546,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_20,0.4,0.6,0.2,vix_only,1.0,0.0,25.0,0.14703554660599827,1.4636076185443159,-0.1641068287572397,0.10046104211471502,193.78262877494043,1.1654715160386826,1.3750000000000002,3546,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_20,0.4,0.6,0.2,vix_only,1.0,0.0,50.0,0.11701086890374945,1.1602259615630508,-0.1654944369154605,0.10085179334042223,193.78262877494043,1.1654715160386826,1.3750000000000002,3546,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_30,0.4,0.6,0.3,vix_only,1.0,0.0,10.0,0.16052093725027472,1.6117347888965792,-0.1631217717086465,0.09959513088389069,194.89061556431307,1.1698297930907369,1.3750000000000002,2604,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_vix_only_40_60_k_30,0.4,0.6,0.3,vix_only,1.0,0.0,25.0,0.1421066886429574,1.4250433914391327,-0.1638328266448672,0.09972095551381471,194.89061556431307,1.1698297930907369,1.3750000000000002,2604,True,True,True
