universe_path,universe,sleeve,base_vol_weight,base_trend_weight,stress_k,stress_variant,vix_weight,drawdown_weight,cost_bps,cagr,sharpe,max_dd,volatility,turnover_sum,avg_gross,max_gross,n_rebalances,passes_max_gross,passes_full_period_dd,passes_full_period_sharpe
config/universes/sp100.yaml,sp100_sample,a7_2_drawdown_only_60_40_k_30,0.6,0.4,0.3,drawdown_only,0.0,1.0,10.0,0.19025643973414486,1.5485605831403562,-0.20939373014640106,0.12286018500375369,142.53722522287563,1.1022286371521113,1.336559439505387,4093,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_drawdown_only_60_40_k_40,0.6,0.4,0.4,drawdown_only,0.0,1.0,10.0,0.19299355475593716,1.6506944733750673,-0.1921832913527759,0.11691658139579024,161.01628423034748,1.1041784327061848,1.375,4013,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_drawdown_only_50_50_k_20,0.5,0.5,0.2,drawdown_only,0.0,1.0,10.0,0.17716590617099204,1.5352631800912457,-0.19935341699766063,0.11539774318072454,126.49182813404504,1.125675582527107,1.3410396263369246,4093,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_drawdown_only_50_50_k_30,0.5,0.5,0.3,drawdown_only,0.0,1.0,10.0,0.1796263173540551,1.635703694224753,-0.1830821488769785,0.10981592692384887,144.49931979281988,1.1276030002606068,1.375,3947,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_drawdown_only_50_50_k_40,0.5,0.5,0.4,drawdown_only,0.0,1.0,10.0,0.18030467290685115,1.6777121353259659,-0.17733733042436794,0.10747056608243429,157.4470622620463,1.1296649407905204,1.3750000000000002,3741,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_drawdown_only_40_60_k_20,0.4,0.6,0.2,drawdown_only,0.0,1.0,10.0,0.16629404447463592,1.5995627396731515,-0.17391429449587725,0.10396218938471635,128.35779174131028,1.1509942405638591,1.375,3877,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_drawdown_only_40_60_k_30,0.4,0.6,0.3,drawdown_only,0.0,1.0,10.0,0.16580924127587426,1.6179918134835773,-0.17031229677295068,0.10247841793394663,138.83241451464843,1.1528556536265493,1.3750000000000002,3504,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_drawdown_only_40_60_k_40,0.4,0.6,0.4,drawdown_only,0.0,1.0,10.0,0.16523765193006223,1.6254545630960524,-0.16726409616560034,0.10165627245545952,147.63473246800447,1.154763450426214,1.3750000000000002,3217,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_50_50_60_40_k_20,0.6,0.4,0.2,weighted_50_50,0.5,0.5,10.0,0.18980875276322218,1.4792518589132095,-0.22368596869622392,0.1283140201038332,160.49199788731406,1.1090214740749433,1.2944474119984524,4582,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_50_50_60_40_k_30,0.6,0.4,0.3,weighted_50_50,0.5,0.5,10.0,0.19493408305726123,1.6643860955056566,-0.19542549537231124,0.11712071110401723,201.1407262915626,1.1143660957230488,1.3416711179976786,4582,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_50_50_60_40_k_40,0.6,0.4,0.4,weighted_50_50,0.5,0.5,10.0,0.1971077049869563,1.805106946238867,-0.1750646113919997,0.10919447481915198,240.22602026104005,1.119758863442179,1.375,4461,True,True,True
config/universes/sp100.yaml,sp100_sample,a7_2_weighted_50_50_50_50_k_20,0.5,0.5,0.2,weighted_50_50,0.5,0.5,10.0,0.1801672775390557,1.6083411005946926,-0.19000416526384245,0.11202056421516425,165.44256399126476,1.1337672215743988,1.3444474119984526,4582,True,True,True
