universe,sleeve,vol_sleeve,trend_sleeve,sharpe,max_dd,equal_weight_sharpe,trend_crisis_corr_vs_vol,blend_crisis_corr_vs_vol,passes_gate
sp100_sample,blend_vol_top_20_trend_6m_long_short_70_30,vol_top_20,trend_6m_long_short,0.9791814710582006,-0.3415248236391707,0.8298670267499215,-0.2654924367934742,0.9925831360134486,True
sp100_sample,blend_vol_top_20_trend_6m_long_short_60_40,vol_top_20,trend_6m_long_short,1.0304058539827032,-0.2849368121769379,0.8298670267499215,-0.2654924367934742,0.9816683353993749,True
sp100_sample,blend_vol_top_20_trend_3m_6m_long_short_80_20,vol_top_20,trend_3m_6m_long_short,0.9630554892987537,-0.39565135186495615,0.8298670267499215,-0.2690873763581504,0.9973410190897262,True
sp100_sample,blend_vol_top_20_trend_3m_6m_long_short_70_30,vol_top_20,trend_3m_6m_long_short,1.0320860886223668,-0.34256438888259344,0.8298670267499215,-0.2690873763581504,0.9920172750415697,True
sp100_sample,blend_vol_top_20_trend_3m_6m_long_short_60_40,vol_top_20,trend_3m_6m_long_short,1.110495467944597,-0.28717519305107,0.8298670267499215,-0.2690873763581504,0.980255616388112,True
sp500_dynamic,blend_vol_top_10_trend_3m_long_cash_80_20,vol_top_10,trend_3m_long_cash,0.6808711496843742,-0.6659455351193386,0.7783994036245333,-0.10755679020055306,0.9992617959107303,False
sp500_dynamic,blend_vol_top_10_trend_3m_long_cash_70_30,vol_top_10,trend_3m_long_cash,0.7469878178180769,-0.5973760357285163,0.7783994036245333,-0.10755679020055306,0.9978223512404376,False
sp500_dynamic,blend_vol_top_10_trend_3m_long_cash_60_40,vol_top_10,trend_3m_long_cash,0.8229574360582447,-0.5200677478652994,0.7783994036245333,-0.10755679020055306,0.9947133276026134,False
sp500_dynamic,blend_vol_top_10_trend_6m_long_cash_80_20,vol_top_10,trend_6m_long_cash,0.6738869710176623,-0.6651367524219056,0.7783994036245333,-0.10310400590815934,0.9993042586329501,False
sp500_dynamic,blend_vol_top_10_trend_6m_long_cash_70_30,vol_top_10,trend_6m_long_cash,0.73514910091063,-0.5960594689492167,0.7783994036245333,-0.10310400590815934,0.9979482097592312,False
sp500_dynamic,blend_vol_top_10_trend_6m_long_cash_60_40,vol_top_10,trend_6m_long_cash,0.804810896162171,-0.5182069414155019,0.7783994036245333,-0.10310400590815934,0.9950202920535868,False
sp500_dynamic,blend_vol_top_10_trend_3m_6m_long_cash_80_20,vol_top_10,trend_3m_6m_long_cash,0.6877963834803354,-0.6651148986474343,0.7783994036245333,-0.11683936656762316,0.9992717714038212,False
sp500_dynamic,blend_vol_top_10_trend_3m_6m_long_cash_70_30,vol_top_10,trend_3m_6m_long_cash,0.7586954159563621,-0.5960580178121011,0.7783994036245333,-0.11683936656762316,0.9978506933788232,False
sp500_dynamic,blend_vol_top_10_trend_3m_6m_long_cash_60_40,vol_top_10,trend_3m_6m_long_cash,0.8407960250983572,-0.518264581121074,0.7783994036245333,-0.11683936656762316,0.9947784974094077,False
sp500_dynamic,blend_vol_top_10_trend_3m_long_short_80_20,vol_top_10,trend_3m_long_short,0.662481534605987,-0.6638751603317414,0.7783994036245333,-0.22266342630077046,0.9992518568880471,False
sp500_dynamic,blend_vol_top_10_trend_3m_long_short_70_30,vol_top_10,trend_3m_long_short,0.7159067750285015,-0.5938852558904182,0.7783994036245333,-0.22266342630077046,0.9977782701540141,False
sp500_dynamic,blend_vol_top_10_trend_3m_long_short_60_40,vol_top_10,trend_3m_long_short,0.7756980651604342,-0.5149218044990647,0.7783994036245333,-0.22266342630077046,0.9945581632771423,False
sp500_dynamic,blend_vol_top_10_trend_6m_long_short_80_20,vol_top_10,trend_6m_long_short,0.6531022646316051,-0.6627949787043128,0.7783994036245333,-0.21825459601362418,0.9993172936935162,False
sp500_dynamic,blend_vol_top_10_trend_6m_long_short_70_30,vol_top_10,trend_6m_long_short,0.7001147418749354,-0.5920450224905368,0.7783994036245333,-0.21825459601362418,0.9979738630066084,False
sp500_dynamic,blend_vol_top_10_trend_6m_long_short_60_40,vol_top_10,trend_6m_long_short,0.751677164065441,-0.5121786326542329,0.7783994036245333,-0.21825459601362418,0.9950406017178225,False
sp500_dynamic,blend_vol_top_10_trend_3m_6m_long_short_80_20,vol_top_10,trend_3m_6m_long_short,0.6693573965136791,-0.6626710593224077,0.7783994036245333,-0.21885184854297854,0.9992653703962454,False
sp500_dynamic,blend_vol_top_10_trend_3m_6m_long_short_70_30,vol_top_10,trend_3m_6m_long_short,0.7276077057247923,-0.591877826782305,0.7783994036245333,-0.21885184854297854,0.9978190569222669,False
sp500_dynamic,blend_vol_top_10_trend_3m_6m_long_short_60_40,vol_top_10,trend_3m_6m_long_short,0.7936911960441096,-0.5120029344540062,0.7783994036245333,-0.21885184854297854,0.9946600421212346,False
sp500_dynamic,blend_vol_top_20_trend_3m_long_cash_80_20,vol_top_20,trend_3m_long_cash,0.7829349049171089,-0.5440107075852939,0.7783994036245333,-0.10320394422932049,0.9989862575900601,False
sp500_dynamic,blend_vol_top_20_trend_3m_long_cash_70_30,vol_top_20,trend_3m_long_cash,0.8493011136419748,-0.4992684144001046,0.7783994036245333,-0.10320394422932049,0.9970097391406991,False
sp500_dynamic,blend_vol_top_20_trend_3m_long_cash_60_40,vol_top_20,trend_3m_long_cash,0.9261903080826626,-0.45088956599916485,0.7783994036245333,-0.10320394422932049,0.9927460382258033,False
sp500_dynamic,blend_vol_top_20_trend_6m_long_cash_80_20,vol_top_20,trend_6m_long_cash,0.774667026903797,-0.544010707585294,0.7783994036245333,-0.09989776553996707,0.9990447921115956,False
