date,variant,gross_before,gross_after,scale,projection_reason
2008-05-16,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-19,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-20,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-21,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-22,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-23,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-27,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-28,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-29,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-05-30,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-06-02,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-06-03,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-06-04,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-06-05,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-06-06,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-06-09,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-06-10,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-06-11,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-06-12,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-06-13,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-06-16,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-06-17,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-06-18,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-06-19,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-06-20,b2_every_2_no_projection,0.8498178845383255,0.8498178845383255,1.0,held
2008-06-23,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,none
2008-06-24,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-06-25,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-06-26,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-06-27,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-06-30,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-01,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-02,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-03,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-07,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-08,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-09,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-10,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-11,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-14,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
2008-07-15,b2_every_2_no_projection,0.5983256334145126,0.5983256334145126,1.0,held
