universe,sleeve,sleeve_type,cagr,sharpe,max_dd,volatility,turnover_sum,n_rebalances,target_beta,avg_realized_beta,vol_sleeve,defensive_sleeve,vol_weight,defensive_weight
sp100_sample,blend_vol_top_20_defensive_stability_top_50_beta_0_6_60_40,blend,0.1750115434912114,0.8633018253551727,-0.4366800929616662,0.20272347208255878,63.7014767314631,239,,0.9506627749150761,vol_top_20,defensive_stability_top_50_beta_0_6,0.6,0.4
sp100_sample,blend_vol_top_20_defensive_stability_top_50_beta_0_6_50_50,blend,0.16755667131040197,0.8666772254039069,-0.428820356429945,0.19333226534516784,65.39030670809974,239,,0.8928535675699826,vol_top_20,defensive_stability_top_50_beta_0_6,0.5,0.5
sp100_sample,blend_vol_top_20_defensive_stability_top_50_beta_0_6_70_30,blend,0.18223898233490643,0.8564977085448763,-0.4449741182061374,0.2127722940958201,62.07610754859734,239,,1.0084719822601693,vol_top_20,defensive_stability_top_50_beta_0_6,0.7,0.3
sp100_sample,blend_vol_top_20_defensive_stability_top_50_beta_0_6_40_60,blend,0.15987944997329362,0.8656215375993414,-0.4214169280384299,0.1846990203324803,67.13878840431926,239,,0.8350443602248894,vol_top_20,defensive_stability_top_50_beta_0_6,0.4,0.6
sp100_sample,blend_vol_top_20_defensive_stability_top_30_beta_0_8_60_40,blend,0.18229893153350996,0.8489454925377201,-0.45433673880994796,0.2147357317235654,61.098641904492666,239,,1.029177443609888,vol_top_20,defensive_stability_top_30_beta_0_8,0.6,0.4
sp100_sample,blend_vol_top_20_defensive_stability_top_30_beta_0_8_50_50,blend,0.17693940281420528,0.8520320954946461,-0.4442581429586182,0.20766753242022337,61.944333806173695,239,,0.9909969034384974,vol_top_20,defensive_stability_top_30_beta_0_8,0.5,0.5
sp100_sample,blend_vol_top_20_defensive_stability_top_30_beta_0_8_70_30,blend,0.18752871943074023,0.8442022500604602,-0.4643474434823074,0.22213719451388547,60.33058658592665,239,,1.0673579837812783,vol_top_20,defensive_stability_top_30_beta_0_8,0.7,0.3
sp100_sample,blend_vol_top_20_defensive_stability_top_30_beta_0_8_40_60,blend,0.17145893029600678,0.8531661895368208,-0.43516928843192615,0.2009677978320858,62.79595918809813,239,,0.9528163632671071,vol_top_20,defensive_stability_top_30_beta_0_8,0.4,0.6
sp100_sample,blend_vol_top_20_defensive_stability_top_50_beta_0_8_60_40,blend,0.1816591158062193,0.8459250678464563,-0.4539881071343195,0.2147461077949663,48.81806108525269,239,,1.0292684982932627,vol_top_20,defensive_stability_top_50_beta_0_8,0.6,0.4
sp100_sample,blend_vol_top_20_defensive_stability_top_50_beta_0_8_50_50,blend,0.17617034529349862,0.8485276537530916,-0.4458559222575271,0.20761886134681176,46.472447848440794,239,,0.991110721792716,vol_top_20,defensive_stability_top_50_beta_0_8,0.5,0.5
sp100_sample,blend_vol_top_20_defensive_stability_top_50_beta_0_8_70_30,blend,0.18702837960597796,0.8417897035229401,-0.46409669613276483,0.22217945743842318,51.212847834910235,239,,1.0674262747938092,vol_top_20,defensive_stability_top_50_beta_0_8,0.7,0.3
sp100_sample,blend_vol_top_20_defensive_stability_top_50_beta_0_8_40_60,blend,0.17056748032095337,0.8493109653875995,-0.44119952475088753,0.20083042286297528,44.138562227416756,239,,0.9529529452921693,vol_top_20,defensive_stability_top_50_beta_0_8,0.4,0.6
sp500_dynamic,blend_vol_top_10_defensive_stability_top_30_equal_weight_60_40,blend,0.22192813596787397,0.6402320626877316,-0.6575653576934952,0.34663702257616824,147.85333333333335,239,,1.6208882288635797,vol_top_10,defensive_stability_top_30_equal_weight,0.6,0.4
