date,stress_score,vol_sleeve_weight,trend_sleeve_weight,gross_target,selected_names
2012-10-08,0.03956903819951814,0.4881292885401446,0.5118707114598554,1.2559353557299275,23
2012-10-09,0.12242369342158718,0.46327289197352384,0.5367271080264762,1.2683635540132379,23
2012-10-10,0.12842964744472363,0.4614711057665829,0.5385288942334171,1.2692644471167083,23
2012-10-11,0.08734089732132264,0.4737977308036032,0.5262022691963968,1.2631011345981984,23
2012-10-12,0.12493124901523206,0.46252062529543037,0.5374793747045696,1.2687396873522845,23
2012-10-15,0.060793478812089824,0.4817619563563731,0.5182380436436269,1.2591190218218131,23
2012-10-16,0.044179423065709364,0.4867461730802872,0.5132538269197128,1.2566269134598567,23
2012-10-17,0.03220407656077739,0.49033877703176676,0.5096612229682332,1.2548306114841163,23
2012-10-18,0.03504064794941873,0.48948780561517435,0.5105121943848256,1.2552560971924127,23
2012-10-19,0.1723163817150739,0.44830508548547787,0.5516949145145221,1.2758474572572616,23
2012-10-22,0.15274414804041833,0.4541767555878745,0.5458232444121255,1.2729116222060628,23
2012-10-23,0.32171882054570594,0.4034843538362882,0.5965156461637118,1.2982578230818558,23
2012-10-24,0.2994853175604357,0.41015440473186926,0.5898455952681307,1.2949227976340651,23
2012-10-25,0.27944223997729595,0.4161673280068112,0.5838326719931888,1.2919163359965942,23
2012-10-26,0.2565431145003177,0.42303706564990473,0.5769629343500953,1.2884814671750477,23
2012-10-31,0.3155708922780955,0.4053287323165714,0.5946712676834286,1.2973356338417144,23
2012-11-01,0.16281615416987738,0.4511551537490368,0.5488448462509632,1.2744224231254813,23
2012-11-02,0.23976798642174754,0.4280696040734757,0.5719303959265243,1.285965197963262,23
2012-11-05,0.3014485277454328,0.4095654416763702,0.5904345583236298,1.2952172791618153,23
2012-11-06,0.22334053295045758,0.43299784011486275,0.5670021598851372,1.2835010799425686,23
2012-11-07,0.35991360709550346,0.392025917871349,0.607974082128651,1.3039870410643253,23
2012-11-08,0.3492699574981985,0.3952190127505405,0.6047809872494595,1.3023904936247293,23
2012-11-09,0.35534516564643015,0.39339645030607095,0.606603549693929,1.3033017748469649,23
2012-11-12,0.2142124979223711,0.4357362506232887,0.5642637493767113,1.2821318746883559,23
2012-11-13,0.2186823851501493,0.43439528445495523,0.5656047155450448,1.2828023577725227,23
2012-11-14,0.32814241280948253,0.4015572761571552,0.5984427238428448,1.299221361921423,23
2012-11-15,0.34068090966633235,0.39779572710010025,0.6022042728998998,1.3011021364499495,23
2012-11-16,0.22194507524657942,0.4334164774260262,0.5665835225739738,1.2832917612869867,23
2012-11-19,0.12009982483724807,0.4639700525488256,0.5360299474511744,1.2680149737255872,23
2012-11-20,0.11445665371809255,0.46566300388457227,0.5343369961154277,1.2671684980577138,23
2012-11-21,0.1209228466779253,0.46372314599662245,0.5362768540033775,1.2681384270016887,23
2012-11-23,0.09384470180190502,0.4718465894594285,0.5281534105405715,1.2640767052702857,23
2012-11-26,0.11759616186453956,0.4647211514406382,0.5352788485593618,1.2676394242796807,23
2012-11-27,0.14910268982665223,0.4552691930520043,0.5447308069479957,1.2723654034739984,23
2012-11-28,0.11441827346533709,0.4656745179603988,0.5343254820396012,1.2671627410198008,23
2012-11-29,0.07912998399120308,0.4762610048026391,0.5237389951973609,1.2618694975986802,23
2012-11-30,0.12789570001892692,0.4616312899943219,0.5383687100056781,1.2691843550028388,23
2012-12-03,0.18645620970136215,0.44406313708959133,0.5559368629104087,0.9520264114675621,22
2012-12-04,0.2229588352843485,0.43311234941469545,0.5668876505853045,0.9510814326092227,22
2012-12-05,0.17646296448020632,0.4470611106559381,0.5529388893440619,0.9522851162952108,22
2012-12-06,0.17695295543731365,0.44691411336880593,0.5530858866311941,0.9522724314242506,22
2012-12-07,0.12741656998345147,0.4617750290049646,0.5382249709950354,0.9535548278608029,22
2012-12-10,0.13963065154029672,0.458110804537911,0.541889195462089,0.9532386300897954,22
2012-12-11,0.0953580820476267,0.471392575385712,0.528607424614288,0.9543847570192078,22
2012-12-12,0.12184386099682859,0.4634468417009514,0.5365531582990486,0.9536990939811691,22
2012-12-13,0.173524689683781,0.4479425930948657,0.5520574069051343,0.9523611822635699,22
2012-12-14,0.20733371914110085,0.4377998842576698,0.5622001157423302,0.9514859351396205,22
2012-12-17,0.14517458422745103,0.4564476247317647,0.5435523752682353,0.9530951089293929,22
2012-12-18,0.07389122075114221,0.47783263377465734,0.5221673662253427,0.9549404904700511,22
2012-12-19,0.21118181787822368,0.4366454546365329,0.5633545453634671,0.9513863156768197,22
2012-12-20,0.22604218291662,0.432187345125014,0.567812654874986,0.9510016109997124,22
2012-12-21,0.2514492335146266,0.42456522994561197,0.575434770054388,0.950343874048345,22
2012-12-24,0.255995534632145,0.42320133961035644,0.5767986603896436,0.9502261795436051,22
2012-12-26,0.3506696811090776,0.39479909566727667,0.6052009043327233,0.9477752581256764,22
2012-12-27,0.3518546666573498,0.3944436000027951,0.6055563999972049,0.9477445812559253,22
2012-12-28,0.4428021421216231,0.367159357363513,0.632840642636487,0.9453901357835685,22
2012-12-31,0.26572385669707516,0.4202828429908775,0.5797171570091225,1.031806389649671,22
2013-01-02,0.01984126984126984,0.49404761904761907,0.5059523809523809,1.0277592587664213,22
2013-01-03,0.02063040670537962,0.4938108779883861,0.5061891220116139,1.027772247649508,22
2013-01-04,0.002976190476190476,0.49910714285714286,0.5008928571428571,1.0274816661787567,22
2013-01-07,0.007531691185194896,0.49774049264444153,0.5022595073555585,1.0275566479326246,22
2013-01-08,0.011321752314679327,0.49660347430559615,0.5033965256944039,1.0276190308514106,22
2013-01-09,0.010084614729788405,0.4969746155810635,0.5030253844189365,1.0275986680522762,22
2013-01-10,0.001984126984126984,0.4994047619047619,0.5005952380952381,1.0274653372030123,22
2013-01-11,0.001105099965773759,0.4996684700102678,0.5003315299897322,1.027450868763263,22
2013-01-14,0.0052144783762967896,0.49843565648711097,0.501564343512889,1.0275185075191784,22
2013-01-15,0.005073353934027727,0.49847799381979163,0.5015220061802084,1.0275161846662433,22
2013-01-16,0.002323019236240016,0.499303094229128,0.500696905770872,1.027470915236484,22
2013-01-17,0.006944444444444444,0.4979166666666667,0.5020833333333333,1.0275469820817367,22
2013-01-18,0.000992063492063492,0.49970238095238095,0.500297619047619,1.0274490082272667,22
2013-01-22,0.000992063492063492,0.49970238095238095,0.500297619047619,1.0274490082272667,22
2013-01-23,0.00248015873015873,0.49925595238095233,0.5007440476190477,1.0274735016908845,22
2013-01-24,0.003968253968253968,0.4988095238095238,0.5011904761904762,1.027497995154502,22
2013-01-25,0.00496031746031746,0.49851190476190477,0.5014880952380952,1.0275143241302467,22
2013-01-28,0.014397836692045758,0.4956806489923863,0.5043193510076137,0.9075443399685255,21
2013-01-29,0.005952380952380952,0.4982142857142857,0.5017857142857143,0.908008825527002,21
2013-01-30,0.03529726582374466,0.48941082025287663,0.5105891797471234,0.9063949072663351,21
2013-01-31,0.038397814949656946,0.4884806555151029,0.5115193444848971,0.9062243823903868,21
2013-02-01,0.005952380952380952,0.4982142857142857,0.5017857142857143,0.908008825527002,21
2013-02-04,0.0594085962700724,0.4821774211189783,0.5178225788810217,0.9050688255090925,21
2013-02-05,0.0199515688392268,0.494014529348232,0.505985470651768,0.9072388942403697,21
2013-02-06,0.009809679142320999,0.49705709625730365,0.5029429037426963,0.90779668075244,21
2013-02-07,0.015982180763596116,0.4952053457709211,0.5047946542290789,0.907457203766102,21
2013-02-08,0.006944444444444444,0.4979166666666667,0.5020833333333333,0.9079542637390583,21
2013-02-11,0.007273956427728385,0.4978178130716815,0.5021821869283185,0.9079361411459977,21
2013-02-12,0.003968253968253968,0.4988095238095238,0.5011904761904762,0.9081179491028892,21
2013-02-13,0.008928571428571428,0.4973214285714286,0.5026785714285714,0.9078451401631711,21
2013-02-14,0.00496031746031746,0.49851190476190477,0.5014880952380952,0.9080633873149455,21
2013-02-15,0.00494753022901474,0.4985157409312956,0.5014842590687044,0.9080640905907019,21
2013-02-19,0.000992063492063492,0.49970238095238095,0.500297619047619,0.90828163446672,21
2013-02-20,0.07285564748580646,0.4781433057542581,0.5218566942457419,0.9043292607909368,21
2013-02-21,0.10369424022910476,0.46889172793126854,0.5311082720687315,0.9026331911631345,21
2013-02-22,0.05149664206215131,0.4845510073813546,0.5154489926186454,0.9055039693997464,21
2013-02-25,0.33590288223991177,0.3992291353280265,0.6007708646719735,1.300385432335987,22
2013-02-26,0.20179418536941943,0.4394617443891742,0.5605382556108258,1.280269127805413,22
2013-02-27,0.07012866900328375,0.4789613992990148,0.5210386007009852,1.2605193003504924,22
2013-02-28,0.11158528571785284,0.4665244142846442,0.5334755857153558,1.2667377928576775,22
