mean_ic,ic_sharpe,n,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2
-0.008023668576429917,-0.5675096304588808,94,63,100,1.0,0.9,0.5,0.5
-0.008630381168437125,-0.5680912729237191,94,15,20,1.0,0.7,0.5,0.0
-0.007956694429945541,-0.5681870734847174,94,63,100,0.8,0.7,0.0,0.5
-0.00790409074871805,-0.5710449649778855,94,31,100,1.0,0.7,0.0,0.0
-0.00808618673245051,-0.574279002483957,94,63,100,1.0,0.7,0.0,0.0
-0.00838907070412292,-0.5751931976069502,94,31,100,0.8,0.7,0.5,0.0
-0.008588677698666933,-0.5765234687332296,94,15,100,1.0,0.9,0.0,0.5
-0.00822904647855655,-0.5792976012085488,94,31,100,1.0,0.9,0.5,0.5
-0.008148370072480527,-0.5812813780703396,94,63,50,1.0,0.9,0.5,0.0
-0.008795339583992114,-0.5826789088495105,94,15,50,0.8,0.7,0.5,0.5
-0.008263632268311245,-0.58366757046316,94,31,50,0.8,0.7,0.5,0.0
-0.008735776939792474,-0.5875876366715574,94,15,100,1.0,0.7,0.5,0.0
-0.0081985397518355,-0.5887985234571442,94,31,20,1.0,0.7,0.5,0.5
-0.008584445245612811,-0.5922515504074104,94,63,50,1.0,0.7,0.5,0.5
-0.008892108055676098,-0.5935759201021263,94,15,20,0.8,0.7,0.5,0.5
-0.008530366909254678,-0.597694034239649,94,31,20,0.8,0.9,0.5,0.0
-0.008535369510551578,-0.6008762477418044,94,63,20,1.0,0.9,0.5,0.0
-0.00886391248955058,-0.6028057688257716,94,15,100,0.6,0.7,0.5,0.0
-0.00842672587688996,-0.6039473631042405,94,31,50,0.8,0.9,0.0,0.0
-0.008870197847515538,-0.6083781189593209,94,63,20,0.8,0.7,0.0,0.0
-0.009134075670515359,-0.6185004399135563,94,15,20,0.8,0.7,0.0,0.5
-0.009122260268745453,-0.6210511224152262,94,15,100,1.0,0.7,0.5,0.5
-0.008863783163664143,-0.6239532496050642,94,63,20,0.8,0.9,0.0,0.0
-0.008801144532414512,-0.629462124987286,94,31,100,0.8,0.7,0.0,0.5
-0.009342515252832658,-0.6386403544642787,94,63,20,1.0,0.7,0.0,0.0
-0.009434958233043871,-0.6396107655186745,94,15,100,0.8,0.7,0.5,0.0
-0.009215667551856294,-0.6406547317450827,94,31,20,0.6,0.9,0.5,0.5
-0.009041018694910466,-0.6414214188631746,94,63,100,0.8,0.7,0.0,0.0
-0.009124629611525836,-0.6432080515878201,94,31,50,1.0,0.7,0.5,0.0
-0.009334772302605193,-0.6502676431848627,94,63,100,0.8,0.7,0.5,0.5
-0.00896168544482682,-0.6502737412377807,94,63,50,0.6,0.7,0.5,0.5
-0.009090003118820458,-0.6529113142734891,94,63,50,1.0,0.7,0.0,0.0
-0.009222073769551984,-0.6550983091569951,94,31,100,1.0,0.9,0.5,0.0
-0.009170260113381469,-0.6593506423653552,94,31,20,1.0,0.7,0.0,0.5
-0.009497213364048112,-0.6642737995191317,94,31,20,1.0,0.7,0.0,0.0
-0.009415773250946521,-0.666034786751076,94,63,50,1.0,0.9,0.0,0.0
-0.0094550716726689,-0.6678372966233614,94,31,20,0.8,0.9,0.0,0.0
-0.00962395760880694,-0.6704587210993468,94,31,50,0.8,0.7,0.0,0.5
-0.009823175021371857,-0.6875935389341548,94,63,20,1.0,0.9,0.0,0.5
-0.009839971250454556,-0.6948092884032563,94,31,100,1.0,0.7,0.0,0.5
-0.009766904273248765,-0.6953356987719186,94,31,20,0.8,0.9,0.5,0.5
-0.00974339593754056,-0.6986167018206013,94,63,20,0.8,0.9,0.5,0.0
-0.009899751376180889,-0.701458516957771,94,63,20,1.0,0.7,0.0,0.5
-0.009832536000046192,-0.7016943880032883,94,63,50,0.6,0.9,0.0,0.5
-0.010385513958359233,-0.7146621293682651,94,31,20,0.8,0.7,0.0,0.5
-0.010148704495072365,-0.7180037645651113,94,63,100,1.0,0.9,0.5,0.0
-0.010025364936194419,-0.7331155723316999,94,63,100,0.6,0.9,0.0,0.5
-0.010169120887959508,-0.7390371729089518,94,31,50,0.8,0.9,0.5,0.0
-0.01025290936049972,-0.7397801653779563,94,31,50,1.0,0.9,0.0,0.5
-0.010498848914099489,-0.7509491916503885,94,31,100,1.0,0.9,0.0,0.5
-0.010800623424547417,-0.7570917831932328,94,63,50,0.8,0.9,0.5,0.0
-0.010924669717151688,-0.7576191012973031,94,63,20,0.8,0.7,0.5,0.0
-0.010769047475839705,-0.7614100410470183,94,31,20,1.0,0.9,0.0,0.0
-0.010920926468595746,-0.769766753226396,94,63,20,1.0,0.9,0.0,0.0
-0.01099266626888867,-0.7731146787651094,94,31,20,0.8,0.7,0.0,0.0
-0.011503341717992485,-0.8149873419596387,94,63,50,1.0,0.9,0.5,0.5
-0.011540329780227693,-0.8260278178029827,94,31,50,0.8,0.9,0.5,0.5
-0.012047990369256927,-0.851461771931392,94,31,20,1.0,0.7,0.5,0.0
